Srore_id,Product id,YearMonth,Volume
DM-01,pd_1,201301,7668
DM-01,pd_1,201401,14.1432
DM-01,pd_1,201501,11112
DM-01,pd_1,201601,15336
DM-01,pd_1,201701,15.9885
DM-01,pd_1,201310,19.17
DM-01,pd_1,201410,12
DM-01,pd_1,201510,12.4392
DM-01,pd_1,201610,25.4469
DM-01,pd_1,201710,23.9412
DM-01,pd_1,201311,13.0356
DM-01,pd_1,201411,20022
DM-01,pd_1,201511,9.5424
DM-01,pd_1,201611,16.8435
DM-01,pd_1,201711,28.2012
DM-01,pd_1,201312,14.7396
DM-01,pd_1,201412,13242
DM-01,pd_1,201512,12.2688
DM-01,pd_1,201612,22.8285
DM-01,pd_1,201712,22.0668
DM-01,pd_1,201302,10.3092
DM-01,pd_1,201402,16.9548
DM-01,pd_1,201502,12.4484
DM-01,pd_1,201602,20.2776
DM-01,pd_1,201702,18.7245
DM-01,pd_1,201303,16.5288
DM-01,pd_1,201403,19.7664
DM-01,pd_1,201503,16.5604
DM-01,pd_1,201603,23.2596
DM-01,pd_1,201703,28071
DM-01,pd_1,201304,13.3764
DM-01,pd_1,201404,13.5468
DM-01,pd_1,201504,11.6724
DM-01,pd_1,201604,21726
DM-01,pd_1,201704,31.7796
DM-01,pd_1,201305,20.2776
DM-01,pd_1,201405,18318
DM-01,pd_1,201505,20.9592
DM-01,pd_1,201605,34.08
DM-01,pd_1,201705,38.5104
DM-01,pd_1,201306,22.8336
DM-01,pd_1,201406,16.6992
DM-01,pd_1,201506,23.5152
DM-01,pd_1,201606,32.1204
DM-01,pd_1,201706,41.2412
DM-01,pd_1,201307,15.2508
DM-01,pd_1,201407,18.9996
DM-01,pd_1,201507,11.5872
DM-01,pd_1,201607,35.0172
DM-01,pd_1,201707,23.6636
DM-01,pd_1,201308,19.2552
DM-01,pd_1,201408,17.2956
DM-01,pd_1,201508,8.0852
DM-01,pd_1,201608,30.9276
DM-01,pd_1,201708,27.3492
DM-01,pd_1,201309,18744
DM-01,pd_1,201409,13.7172
DM-01,pd_1,201509,13.5784
DM-01,pd_1,201609,16.4436
DM-01,pd_1,201709,25.2192
