index,data,valor
0,2016-08-29,9
1,2016-08-30,1.6
2,2016-08-31,15311.7
3,2016-09-01,13932.67
4,2016-09-02,11535.45
5,2016-09-03,25864.32
6,2016-09-04,161344.35
7,2016-09-07,46380.31
8,2016-09-08,7341.94
9,2016-09-09,20184.57
10,2016-09-10,28359.77
11,2016-09-11,91701.65
12,2016-09-14,14836.67
13,2016-09-15,12446.2
14,2016-09-16,12083.45
15,2016-09-17,31864.65
16,2016-09-18,94610.57
17,2016-09-21,16865.56
18,2016-09-22,9134.95
19,2016-09-23,17733.3
20,2016-09-25,115505.5
21,2016-09-26,580.4
22,2016-09-28,18110.85
23,2016-09-29,7492.46
24,2016-09-30,5652.1
25,2016-10-01,84379.41
26,2016-10-02,87796.85
27,2016-10-05,16684.48
28,2016-10-06,6360.95
29,2016-10-07,13873.31
30,2016-10-09,115539.86
31,2016-10-12,45896.42
32,2016-10-13,9263.35
33,2016-10-14,16608.95
34,2016-10-15,34298.47
35,2016-10-16,107380.51
36,2016-10-19,17286.2
37,2016-10-20,13796.52
38,2016-10-22,28131.4
39,2016-10-23,180306
40,2016-10-24,17470.5
41,2016-10-26,18333.5
42,2016-10-27,8433.4
43,2016-10-28,22833.82
44,2016-10-29,97922.93
45,2016-10-30,116982.02
46,2016-10-31,481.7
47,2016-11-01,12352.9
48,2016-11-02,29780.4
49,2016-11-03,9763.25
50,2016-11-04,27328.31
51,2016-11-05,85893.22
52,2016-11-06,119261.15
53,2016-11-09,16293.76
54,2016-11-10,11366.8
55,2016-11-11,24321.05
56,2016-11-12,26884.32
57,2016-11-13,157785.15
58,2016-11-14,15340.96
59,2016-11-15,28600.3
60,2016-11-16,14983.05
61,2016-11-17,20429.6
62,2016-11-18,13177.45
63,2016-11-19,63304.9
64,2016-11-20,132453.98
65,2016-11-23,17170.31
66,2016-11-24,2539.5
67,2016-11-25,18377.22
68,2016-11-26,1921.7
69,2016-11-27,123103.61
70,2016-11-28,96
71,2016-11-29,9.8
72,2016-11-30,100
73,2016-12-03,33939.2
74,2016-12-04,158495.8
75,2016-12-07,20070.51
76,2016-12-08,100
77,2016-12-09,13203.01
78,2016-12-10,39776.98
79,2016-12-11,82579.9
80,2016-12-12,105790.14
81,2016-12-14,27202.6
82,2016-12-15,22820.26
83,2016-12-16,14581.71
84,2016-12-17,23871.12
85,2016-12-18,91317.45
86,2016-12-19,60226.11
87,2016-12-21,22895.9
88,2016-12-22,17499.45
89,2016-12-23,19535.6
90,2016-12-24,11564.2
91,2016-12-25,193650.37
92,2016-12-26,11779.4
93,2016-12-27,12860.66
94,2016-12-28,45404.81
95,2016-12-29,25980.96
96,2016-12-30,31875.42
97,2016-12-31,3133.2
98,2017-01-01,138911.85
99,2017-01-02,8843.97
100,2017-01-04,43708.04
101,2017-01-05,28248.8
102,2017-01-06,30190.1
103,2017-01-07,37600.9
104,2017-01-08,117292.15
105,2017-01-09,4695.41
106,2017-01-11,27395.32
107,2017-01-12,28002.2
108,2017-01-13,54867.35
109,2017-01-14,23345.06
110,2017-01-15,104567.4
111,2017-01-16,2502.1
112,2017-01-18,28924.62
113,2017-01-19,19767.75
114,2017-01-20,44417.5
115,2017-01-21,75885.57
116,2017-01-22,91224.76
117,2017-01-25,26738.32
118,2017-01-26,14021.4
119,2017-01-27,19147.21
120,2017-01-28,22141.9
121,2017-01-29,121237.6
122,2017-01-30,31440.32
123,2017-02-01,15874.22
124,2017-02-02,5706.94
125,2017-02-03,16712.91
126,2017-02-04,20637.2
127,2017-02-05,38024.81
128,2017-02-07,730
129,2017-02-08,20481.71
130,2017-02-09,8972.1
131,2017-02-10,11635.11
132,2017-02-11,11362.21
133,2017-02-12,65283.12
134,2017-02-15,17030.51
135,2017-02-16,8601.9
136,2017-02-17,12179.8
137,2017-02-18,11690.76
138,2017-02-19,48963.9
139,2017-02-22,12300.41
140,2017-02-23,11203.22
141,2017-02-24,8431
142,2017-02-25,50823.91
143,2017-02-26,77077.52
144,2017-02-27,75693.01
145,2017-02-28,43638.82
146,2017-03-01,9325.4
147,2017-03-02,2196
148,2017-03-03,9742.65
149,2017-03-04,14653.41
150,2017-03-05,51332.97
